pokedex_number	name	abilities	attack	defense	speed	hp	sp_attack	sp_defense	base_total	base_egg_steps	base_happiness	weight_kg	height_m	capture_rate	classIfication	type1	type2	experience_growth	percentage_male	generation	is_legendary
1	Bulbasaur	['Overgrow', 'Chlorophyll']	49	49	45	45	65	65	318	5120	70	6.9	0.7	45	Seed 	grass	poison	1059860	88.1	1	N
2	Ivysaur	['Overgrow', 'Chlorophyll']	62	63	60	60	80	80	405	5120	70	13.0	1.0	45	Seed 	grass	poison	1059860	88.1	1	N
3	Venusaur	['Overgrow', 'Chlorophyll']	100	123	80	80	122	120	625	5120	70	100.0	2.0	45	Seed 	grass	poison	1059860	88.1	1	N
4	Charmander	['Blaze', 'Solar Power']	52	43	65	39	60	50	309	5120	70	8.5	0.6	45	Lizard 	fire	NULL	1059860	88.1	1	N
5	Charmeleon	['Blaze', 'Solar Power']	64	58	80	58	80	65	405	5120	70	19.0	1.1	45	Flame 	fire	NULL	1059860	88.1	1	N
6	Charizard	['Blaze', 'Solar Power']	104	78	100	78	159	115	634	5120	70	90.5	1.7	45	Flame 	fire	flying	1059860	88.1	1	N
7	Squirtle	['Torrent', 'Rain Dish']	48	65	43	44	50	64	314	5120	70	9.0	0.5	45	Tiny Turtle 	water	NULL	1059860	88.1	1	N
8	Wartortle	['Torrent', 'Rain Dish']	63	80	58	59	65	80	405	5120	70	22.5	1.0	45	Turtle 	water	NULL	1059860	88.1	1	N
9	Blastoise	['Torrent', 'Rain Dish']	103	120	78	79	135	115	630	5120	70	85.5	1.6	45	Shellfish 	water	NULL	1059860	88.1	1	N
10	Caterpie	['Shield Dust', 'Run Away']	30	35	45	45	20	20	195	3840	70	2.9	0.3	255	Worm 	bug	NULL	1000000	50.0	1	N
11	Metapod	['Shed Skin']	20	55	30	50	25	25	205	3840	70	9.9	0.7	120	Cocoon 	bug	NULL	1000000	50.0	1	N
12	Butterfree	['Compoundeyes', 'Tinted Lens']	45	50	70	60	90	80	395	3840	70	32.0	1.1	45	Butterfly 	bug	flying	1000000	50.0	1	N
13	Weedle	['Shield Dust', 'Run Away']	35	30	50	40	20	20	195	3840	70	3.2	0.3	255	Hairy 	bug	poison	1000000	50.0	1	N
14	Kakuna	['Shed Skin']	25	50	35	45	25	25	205	3840	70	10.0	0.6	120	Cocoon 	bug	poison	1000000	50.0	1	N
15	Beedrill	['Swarm', 'Sniper']	150	40	145	65	15	80	495	3840	70	29.5	1.0	45	Poison Bee 	bug	poison	1000000	50.0	1	N
16	Pidgey	['Keen Eye', 'Tangled Feet', 'Big Pecks']	45	40	56	40	35	35	251	3840	70	1.8	0.3	255	Tiny Bird 	normal	flying	1059860	50.0	1	N
17	Pidgeotto	['Keen Eye', 'Tangled Feet', 'Big Pecks']	60	55	71	63	50	50	349	3840	70	30.0	1.1	120	Bird 	normal	flying	1059860	50.0	1	N
18	Pidgeot	['Keen Eye', 'Tangled Feet', 'Big Pecks']	80	80	121	83	135	80	579	3840	70	39.5	1.5	45	Bird 	normal	flying	1059860	50.0	1	N
